,Predicted_Class_k,R_k,N_k,Acc_k,Conf_k,ECE_k,Calibration_Bias_k
50,squirrel,76,131,0.5801526717557252,0.7736091603053433,0.19345648854961822,0.19345648854961817
51,castle,88,99,0.8888888888888888,0.9372919191919189,0.08150606060606046,0.04840303030303006
52,boy,49,93,0.5268817204301075,0.6842999999999999,0.15741827956989243,0.1574182795698924
53,girl,54,90,0.6,0.7208644444444445,0.19700000000000006,0.12086444444444455
54,crab,69,99,0.696969696969697,0.8299626262626261,0.1329929292929291,0.13299292929292905
55,kangaroo,66,98,0.673469387755102,0.7840653061224492,0.1258408163265308,0.11059591836734717
56,wolf,79,90,0.8777777777777778,0.8772888888888889,0.058224444444444426,-0.000488888888888872
57,plate,77,103,0.7475728155339806,0.8301174757281553,0.12775436893203881,0.08254466019417472
58,skyscraper,91,105,0.8666666666666667,0.9202561904761906,0.06364476190476175,0.053589523809523865
59,snake,68,115,0.591304347826087,0.7756217391304349,0.18431739130434782,0.18431739130434788
60,plain,86,105,0.819047619047619,0.9209333333333335,0.10188571428571416,0.10188571428571447
61,caterpillar,70,93,0.7526881720430108,0.847058064516129,0.11587956989247292,0.09436989247311822
62,bee,81,111,0.7297297297297297,0.8343963963963962,0.11940720720720695,0.10466666666666646
63,bottle,88,100,0.88,0.9166789999999998,0.05750899999999991,0.036678999999999795
64,leopard,74,100,0.74,0.8444869999999999,0.1044869999999999,0.10448699999999989
65,motorcycle,91,96,0.9479166666666666,0.9657937499999996,0.04585624999999954,0.017877083333332933
66,rabbit,63,105,0.6,0.7427999999999999,0.16416380952380966,0.14279999999999993
67,chair,85,104,0.8173076923076923,0.9318346153846156,0.11452692307692316,0.11452692307692336
68,skunk,87,96,0.90625,0.9271447916666667,0.05671562499999995,0.020894791666666745
69,crocodile,58,90,0.6444444444444445,0.7476888888888891,0.10868666666666665,0.10324444444444458
70,lawn_mower,88,100,0.88,0.9203500000000001,0.04941200000000024,0.04035000000000011
71,ray,59,84,0.7023809523809523,0.817067857142857,0.12340357142857136,0.11468690476190468
72,can,72,92,0.782608695652174,0.8629652173913042,0.0867369565217391,0.08035652173913022
73,snail,69,93,0.7419354838709677,0.826910752688172,0.08497526881720424,0.0849752688172043
74,camel,75,100,0.75,0.8288590000000003,0.088117,0.07885900000000035
75,baby,64,111,0.5765765765765766,0.7953468468468471,0.22913423423423432,0.21877027027027052
76,apple,87,97,0.8969072164948454,0.9327082474226797,0.07482371134020602,0.035801030927834265
77,keyboard,85,89,0.9550561797752809,0.9548022471910108,0.03867415730337034,-0.000253932584270089
78,porcupine,70,97,0.7216494845360825,0.8489927835051546,0.12734329896907218,0.12734329896907215
79,forest,69,101,0.6831683168316832,0.7962653465346533,0.1396396039603959,0.11309702970297009
80,oak_tree,69,118,0.5847457627118644,0.7815728813559322,0.2107898305084746,0.19682711864406777
81,willow_tree,68,114,0.5964912280701754,0.7914657894736845,0.20633070175438584,0.1949745614035091
82,dinosaur,70,97,0.7216494845360825,0.8080175257731955,0.09719278350515476,0.08636804123711306
83,sea,83,107,0.7757009345794392,0.8846102803738314,0.10890934579439224,0.10890934579439215
84,rose,82,107,0.7663551401869159,0.8543532710280367,0.09200560747663558,0.08799813084112085
85,rocket,81,104,0.7788461538461539,0.8488798076923076,0.08418365384615384,0.07003365384615379
86,road,93,108,0.8611111111111112,0.9382166666666666,0.07710555555555516,0.07710555555555543
87,beetle,76,92,0.8260869565217391,0.8438173913043476,0.04230000000000003,0.017730434782608495
88,pickup_truck,85,95,0.8947368421052632,0.9142705263157896,0.06566210526315788,0.01953368421052648
89,train,83,106,0.7830188679245284,0.8495537735849054,0.06653490566037737,0.06653490566037701
90,shrew,57,110,0.5181818181818182,0.7260936363636361,0.20791181818181814,0.20791181818181792
91,man,52,78,0.6666666666666666,0.7452179487179488,0.1642538461538461,0.07855128205128215
92,bowl,60,103,0.5825242718446602,0.7311058252427184,0.1548029126213592,0.14858155339805823
93,wardrobe,90,97,0.9278350515463918,0.9465288659793815,0.05738659793814424,0.018693814432989675
94,bridge,82,109,0.7522935779816514,0.819077981651376,0.0762137614678898,0.0667844036697246
95,flatfish,68,91,0.7472527472527473,0.8017747252747253,0.12928901098901094,0.054521978021978
96,raccoon,85,100,0.85,0.9140429999999996,0.08809699999999979,0.06404299999999963
97,dolphin,73,101,0.7227722772277227,0.8066178217821782,0.1310891089108912,0.08384554455445548
98,mountain,87,99,0.8787878787878788,0.9295525252525251,0.08049797979797953,0.05076464646464629
99,bed,75,99,0.7575757575757576,0.8707232323232325,0.12510101010100996,0.11314747474747489
